Common Name,Scientific Name,stateProvince,locality,decimalLatitude,decimalLongitude,Matched_Suburb,Matched_Postcode
Bermuda Grass,Cynodon dactylon,Victoria,MLT4+120S Mulcra Lower Horseshoe- Mulcra Island (Sunset National Park),-34.13196,141.36105,NEDS CORNER,3496
Bermuda Grass,Cynodon dactylon,Victoria,MIGA LAKE (561225) 1818 m from Miga Lake 84 deg,-36.93746,141.62001,MIGA LAKE,3409
Bermuda Grass,Cynodon dactylon,Victoria,"Warrandyte Rd, Langwarrin Warrandyte Rd, adjacent to Langwarrin Flora and Fauna reserve",-38.16861,145.1875,LANGWARRIN,3910
Bermuda Grass,Cynodon dactylon,Victoria,Windsor Park Windsor Park,-38.0902,144.36167,CORIO,3214
Bermuda Grass,Cynodon dactylon,Victoria,T2424400 Centre about 3 km NW of WESTMELTON,-37.66139,144.53778,HARKNESS,3337
Bermuda Grass,Cynodon dactylon,Victoria,Bulleen Park Bulleen,-37.77371,145.07384,BULLEEN SOUTH,3105
Bermuda Grass,Cynodon dactylon,Victoria,"79-119 Mitchell Street, Portarlington 2.58km E of Portarlington",-38.11919,144.68107,PORTARLINGTON,3223
Bermuda Grass,Cynodon dactylon,Victoria,100275 LESLIE MANOR,-38.08553,143.32625,WEERITE,3260
Bermuda Grass,Cynodon dactylon,Victoria,Site 13 Hattah-Kulkyne National Park lake system,-34.67045,142.35059,NANGILOC,3494
Bermuda Grass,Cynodon dactylon,Victoria,Annandale grasslands Annandale grasslands,-37.70408,144.84344,KEILOR NORTH,3036
Bermuda Grass,Cynodon dactylon,Victoria,E1186900 Centre about 409 m N of TARNEIT,-37.85694,144.6675,TRUGANINA,3029
Bermuda Grass,Cynodon dactylon,Victoria,PH1191 Regulator on Loddon Valley 9/2 channel,-35.9406,143.88126,DURHAM OX,3576
Bermuda Grass,Cynodon dactylon,Victoria,"BIT4+30 Lindsay, Mulcra, Wallpolla Islands Wetlands",-34.06652,141.03426,NEDS CORNER,3496
Bermuda Grass,Cynodon dactylon,Victoria,"NE88 Accessed through private Eberhard E.V. Olives property, off Markwood-Tarrawingee Road, Tarrawingee",-36.43973,146.52113,MYRTLEFORD,3736
Bermuda Grass,Cynodon dactylon,Victoria,Toolamba Pipe In Rail Reserve,-36.4978,145.33944,TOOLAMBA,3614
Bermuda Grass,Cynodon dactylon,Victoria,"Bellbird Dell 800 m south of Canterbury Road x Boronia Road intersection, Vermont South",-37.84659,145.19296,VERMONT,3133
Bermuda Grass,Cynodon dactylon,Victoria,Site 16 Hattah-Kulkyne National Park lake system,-34.77982,142.46838,TORRITA,3490
Bermuda Grass,Cynodon dactylon,Victoria,SHELFORD (582585) 5827 m from Warrambine 219 deg,-37.90058,143.89935,BARUNAH PARK,3329
Bermuda Grass,Cynodon dactylon,Victoria,"Box Grove, Nagambie 21 Lobbs Lane, Nagambie, Victoria",-36.7702,145.14273,WIRRATE,3608
Bermuda Grass,Cynodon dactylon,Victoria,E2051300 Centre about 1 km S of FYANSFORD,-38.14806,144.30083,FYANSFORD,3218
Bermuda Grass,Cynodon dactylon,Victoria,"CE72 Goulburn River Water Frontage, Molesworth. Weed River flat, south from Fullertons Rd, approx 5km west of Molesworth",-37.15599,145.47789,MOLESWORTH,3718
Bermuda Grass,Cynodon dactylon,Victoria,T0918200 Centre about 477 m NNW of TARNEIT,-37.85694,144.66472,TRUGANINA,3029
Bermuda Grass,Cynodon dactylon,Victoria,T3283500 Centre about 2 km E of LOY YANG,-38.17917,146.6375,GLENGARRY,3854
Bermuda Grass,Cynodon dactylon,Victoria,CRESSY (581587) 4290 m from Werneth 327 deg,-37.98839,143.65161,CRESSY,3322
Bermuda Grass,Cynodon dactylon,Victoria,U0215700 Centre about 2 km N of BLACK ROCK,-37.96222,145.02778,HIGHETT,3190
Bermuda Grass,Cynodon dactylon,Victoria,"The Heart Morass DC5 Wet Trust property, The Heart Morass, SE of Sale",-38.1423,147.10287,EAST SALE RAAF,3852
Bermuda Grass,Cynodon dactylon,Victoria,E0290300 Centre about 2 km W of WILLIAMSTOWN,-37.85944,144.87056,WILLIAMSTOWN NORTH,3016
Bermuda Grass,Cynodon dactylon,Victoria,500314 WOODHOUSE,-37.77426,142.39027,NAREEB,3293
Bermuda Grass,Cynodon dactylon,Victoria,652244 BIRREGURRA,-38.30731,143.82649,MURROON,3243
Bermuda Grass,Cynodon dactylon,Victoria,"99A Furlong Rd, Cairnlea Cairnlea",-37.7558,144.79222,ST ALBANS,3021
Bermuda Grass,Cynodon dactylon,Victoria,B1801200 Centre about 2 km WSW of FRANKSTON,-38.16472,145.11167,FRANKSTON HEIGHTS,3199
Bermuda Grass,Cynodon dactylon,Victoria,T2436000 Centre about 3 km S of TRUGANINA,-37.83583,144.70361,TRUGANINA,3029
Bermuda Grass,Cynodon dactylon,Victoria,D2111200 Centre about 4 km S of GLADFIELD,-36.08028,143.94861,DURHAM OX,3576
Bermuda Grass,Cynodon dactylon,Victoria,APSLEY (561066) 3711 m from Apsley 13 deg,-37.00074,141.07209,APSLEY,3319
Bermuda Grass,Cynodon dactylon,Victoria,MEREDITH (582810) 3511 m from Durdidwarrah 82 deg,-37.81799,144.15479,MOUNT DORAN,3334
Bermuda Grass,Cynodon dactylon,Victoria,T2462000 Centre about 2 km NNW of MOOROODUC,-38.22778,145.09583,KUNYUNG,3930
Bermuda Grass,Cynodon dactylon,Victoria,S2532200 Centre about 3 km NNE of EPPING,-37.62222,145.04389,EPPING DC,3076
Bermuda Grass,Cynodon dactylon,Victoria,GOROKE (560686) 3822 m from Goroke 112 deg,-36.70429,141.43498,GOROKE,3412
Bermuda Grass,Cynodon dactylon,Victoria,"Tozar Reserve 281 Wangoom Rd, north of Warrnambool 3281",-38.36144,142.52888,WARRNAMBOOL WEST,3280
Bermuda Grass,Cynodon dactylon,Victoria,9862 STAVELY,-37.60153,142.6292,NAREEB,3293
Bermuda Grass,Cynodon dactylon,Victoria,ROKEWOOD (580861) 3545 m from Corindhap 345 deg,-37.90153,143.75912,ROKEWOOD,3330
Bermuda Grass,Cynodon dactylon,Victoria,WWT4+100 Lake Wallawalla,-34.17584,141.18103,NEDS CORNER,3496
Bermuda Grass,Cynodon dactylon,Victoria,500165 INVERMAY,-37.51072,143.86463,WENDOUREE VILLAGE,3355
Bermuda Grass,Cynodon dactylon,Victoria,LETHBRIDGE (582775) 1199 m from Lethbridge 136 deg,-37.95919,144.12112,LETHBRIDGE,3332
Bermuda Grass,Cynodon dactylon,Victoria,T3271700 Centre about 5 km W of FENWICK,-38.23333,144.4525,LEOPOLD,3224
Bermuda Grass,Cynodon dactylon,Victoria,E2383100 Centre about 1 km ENE of SOMERTON,-37.63028,144.95833,SOMERTON,3062
Bermuda Grass,Cynodon dactylon,Victoria,T3288700 Centre about 7 km ENE of WILLUNG SOUTH,-38.31528,146.80139,WILLUNG SOUTH,3847
Bermuda Grass,Cynodon dactylon,Victoria,E0457000 Centre about 2 km SSW of HOVELL PARK,-38.06083,144.39944,POINT WILSON,3212
Bermuda Grass,Cynodon dactylon,Victoria,652259 WARNCOORT,-38.34024,143.71777,BIRREGURRA,3242
Bermuda Grass,Cynodon dactylon,Victoria,T4054400 Centre about 2 m E of RINGWOOD NORTH,-37.77778,145.24694,RINGWOOD,3134
Bermuda Grass,Cynodon dactylon,Victoria,9830 NERRIN NERRIN,-37.75104,143.03692,PURA PURA,3271
Bermuda Grass,Cynodon dactylon,Victoria,E1170100 Centre about 2 km NW of POINT LONSDALE,-38.25972,144.59556,SWAN BAY,3225
Bermuda Grass,Cynodon dactylon,Victoria,S1315700 Centre about 6 km SSW of ROCHESTER,-36.41194,144.66861,BONN,3561
Bermuda Grass,Cynodon dactylon,Victoria,"Barkers Creek Reservoir, Harcourt North Harcourt North",-36.96528,144.27815,RAVENSWOOD SOUTH,3453
Bermuda Grass,Cynodon dactylon,Victoria,300103 MINGAY,-37.86654,143.34336,MOUNT BUTE,3324
